,fips,province_state,country_region,latitude,longitude,county,state
0,53061,,,,,Snohomish,Washington
1,53061,,,,,Snohomish,Washington
2,53061,,,,,Snohomish,Washington
3,17031,,,,,Cook,Illinois
4,53061,,,,,Snohomish,Washington
5,6059,,,,,Orange,California
6,17031,,,,,Cook,Illinois
7,53061,,,,,Snohomish,Washington
8,4013,,,,,Maricopa,Arizona
9,6037,,,,,Los Angeles,California
10,6059,,,,,Orange,California
11,17031,,,,,Cook,Illinois
12,53061,,,,,Snohomish,Washington
13,4013,,,,,Maricopa,Arizona
14,6037,,,,,Los Angeles,California
15,6059,,,,,Orange,California
16,17031,,,,,Cook,Illinois
17,53061,,,,,Snohomish,Washington
18,4013,,,,,Maricopa,Arizona
19,6037,,,,,Los Angeles,California
20,6059,,,,,Orange,California
21,17031,,,,,Cook,Illinois
22,53061,,,,,Snohomish,Washington
23,4013,,,,,Maricopa,Arizona
24,6037,,,,,Los Angeles,California
25,6059,,,,,Orange,California
26,17031,,,,,Cook,Illinois
27,53061,,,,,Snohomish,Washington
28,4013,,,,,Maricopa,Arizona
29,6037,,,,,Los Angeles,California
30,6059,,,,,Orange,California
31,17031,,,,,Cook,Illinois
32,53061,,,,,Snohomish,Washington
33,4013,,,,,Maricopa,Arizona
34,6037,,,,,Los Angeles,California
35,6059,,,,,Orange,California
36,6085,,,,,Santa Clara,California
37,17031,,,,,Cook,Illinois
38,53061,,,,,Snohomish,Washington
39,4013,,,,,Maricopa,Arizona
40,6037,,,,,Los Angeles,California
41,6059,,,,,Orange,California
42,6085,,,,,Santa Clara,California
43,17031,,,,,Cook,Illinois
44,25025,,,,,Suffolk,Massachusetts
45,53061,,,,,Snohomish,Washington
46,4013,,,,,Maricopa,Arizona
47,6037,,,,,Los Angeles,California
48,6059,,,,,Orange,California
49,6075,,,,,San Francisco,California
50,6085,,,,,Santa Clara,California
51,17031,,,,,Cook,Illinois
52,25025,,,,,Suffolk,Massachusetts
53,53061,,,,,Snohomish,Washington
54,4013,,,,,Maricopa,Arizona
55,6037,,,,,Los Angeles,California
56,6059,,,,,Orange,California
57,6075,,,,,San Francisco,California
58,6085,,,,,Santa Clara,California
59,17031,,,,,Cook,Illinois
60,25025,,,,,Suffolk,Massachusetts
61,53061,,,,,Snohomish,Washington
62,4013,,,,,Maricopa,Arizona
63,6037,,,,,Los Angeles,California
64,6059,,,,,Orange,California
65,6075,,,,,San Francisco,California
66,6085,,,,,Santa Clara,California
67,17031,,,,,Cook,Illinois
68,25025,,,,,Suffolk,Massachusetts
69,53061,,,,,Snohomish,Washington
70,4013,,,,,Maricopa,Arizona
71,6037,,,,,Los Angeles,California
72,6059,,,,,Orange,California
73,6075,,,,,San Francisco,California
74,6085,,,,,Santa Clara,California
75,17031,,,,,Cook,Illinois
76,25025,,,,,Suffolk,Massachusetts
77,53061,,,,,Snohomish,Washington
78,55025,,,,,Dane,Wisconsin
79,4013,,,,,Maricopa,Arizona
80,6037,,,,,Los Angeles,California
81,6059,,,,,Orange,California
82,6075,,,,,San Francisco,California
83,6085,,,,,Santa Clara,California
84,17031,,,,,Cook,Illinois
85,25025,,,,,Suffolk,Massachusetts
86,53061,,,,,Snohomish,Washington
87,55025,,,,,Dane,Wisconsin
88,4013,,,,,Maricopa,Arizona
89,6037,,,,,Los Angeles,California
90,6059,,,,,Orange,California
91,6075,,,,,San Francisco,California
92,6085,,,,,Santa Clara,California
93,17031,,,,,Cook,Illinois
94,25025,,,,,Suffolk,Massachusetts
95,53061,,,,,Snohomish,Washington
96,55025,,,,,Dane,Wisconsin
97,4013,,,,,Maricopa,Arizona
98,6037,,,,,Los Angeles,California
99,6059,,,,,Orange,California
